mpg,displacement,horsepower,weight,acceleration,year,name,origin_1,origin_2,origin_3,cylinders_4,cylinders_5,cylinders_6,cylinders_8
18.0,307.0,130,3504,12.0,70,chevrolet chevelle malibu,True,False,False,False,False,False,True
15.0,350.0,165,3693,11.5,70,buick skylark 320,True,False,False,False,False,False,True
18.0,318.0,150,3436,11.0,70,plymouth satellite,True,False,False,False,False,False,True
16.0,304.0,150,3433,12.0,70,amc rebel sst,True,False,False,False,False,False,True
17.0,302.0,140,3449,10.5,70,ford torino,True,False,False,False,False,False,True
15.0,429.0,198,4341,10.0,70,ford galaxie 500,True,False,False,False,False,False,True
14.0,440.0,215,4312,8.5,70,plymouth fury iii,True,False,False,False,False,False,True
15.0,390.0,190,3850,8.5,70,amc ambassador dpl,True,False,False,False,False,False,True
15.0,383.0,170,3563,10.0,70,dodge challenger se,True,False,False,False,False,False,True
14.0,340.0,160,3609,8.0,70,plymouth 'cuda 340,True,False,False,False,False,False,True
15.0,400.0,150,3761,9.5,70,chevrolet monte carlo,True,False,False,False,False,False,True
24.0,113.0,95,2372,15.0,70,toyota corona mark ii,False,False,True,True,False,False,False
22.0,198.0,95,2833,15.5,70,plymouth duster,True,False,False,False,False,True,False
18.0,199.0,97,2774,15.5,70,amc hornet,True,False,False,False,False,True,False
21.0,200.0,85,2587,16.0,70,ford maverick,True,False,False,False,False,True,False
27.0,97.0,88,2130,14.5,70,datsun pl510,False,False,True,True,False,False,False
26.0,97.0,46,1835,20.5,70,volkswagen 1131 deluxe sedan,False,True,False,True,False,False,False
25.0,110.0,87,2672,17.5,70,peugeot 504,False,True,False,True,False,False,False
24.0,107.0,90,2430,14.5,70,audi 100 ls,False,True,False,True,False,False,False
25.0,104.0,95,2375,17.5,70,saab 99e,False,True,False,True,False,False,False
26.0,121.0,113,2234,12.5,70,bmw 2002,False,True,False,True,False,False,False
21.0,199.0,90,2648,15.0,70,amc gremlin,True,False,False,False,False,True,False
10.0,360.0,215,4615,14.0,70,ford f250,True,False,False,False,False,False,True
10.0,307.0,200,4376,15.0,70,chevy c20,True,False,False,False,False,False,True
11.0,318.0,210,4382,13.5,70,dodge d200,True,False,False,False,False,False,True
27.0,97.0,88,2130,14.5,71,datsun pl510,False,False,True,True,False,False,False
28.0,140.0,90,2264,15.5,71,chevrolet vega 2300,True,False,False,True,False,False,False
25.0,113.0,95,2228,14.0,71,toyota corona,False,False,True,True,False,False,False
19.0,232.0,100,2634,13.0,71,amc gremlin,True,False,False,False,False,True,False
16.0,225.0,105,3439,15.5,71,plymouth satellite custom,True,False,False,False,False,True,False
17.0,250.0,100,3329,15.5,71,chevrolet chevelle malibu,True,False,False,False,False,True,False
19.0,250.0,88,3302,15.5,71,ford torino 500,True,False,False,False,False,True,False
18.0,232.0,100,3288,15.5,71,amc matador,True,False,False,False,False,True,False
14.0,350.0,165,4209,12.0,71,chevrolet impala,True,False,False,False,False,False,True
14.0,400.0,175,4464,11.5,71,pontiac catalina brougham,True,False,False,False,False,False,True
14.0,351.0,153,4154,13.5,71,ford galaxie 500,True,False,False,False,False,False,True
14.0,318.0,150,4096,13.0,71,plymouth fury iii,True,False,False,False,False,False,True
12.0,383.0,180,4955,11.5,71,dodge monaco (sw),True,False,False,False,False,False,True
13.0,400.0,170,4746,12.0,71,ford country squire (sw),True,False,False,False,False,False,True
