mpg,cylinders,displacement,horsepower,weight,acceleration,year,name,origin_1,origin_2,origin_3
18.0,8,307.0,130,3504,12.0,70,chevrolet chevelle malibu,True,False,False
15.0,8,350.0,165,3693,11.5,70,buick skylark 320,True,False,False
18.0,8,318.0,150,3436,11.0,70,plymouth satellite,True,False,False
16.0,8,304.0,150,3433,12.0,70,amc rebel sst,True,False,False
17.0,8,302.0,140,3449,10.5,70,ford torino,True,False,False
15.0,8,429.0,198,4341,10.0,70,ford galaxie 500,True,False,False
14.0,8,454.0,220,4354,9.0,70,chevrolet impala,True,False,False
14.0,8,440.0,215,4312,8.5,70,plymouth fury iii,True,False,False
14.0,8,455.0,225,4425,10.0,70,pontiac catalina,True,False,False
15.0,8,390.0,190,3850,8.5,70,amc ambassador dpl,True,False,False
15.0,8,383.0,170,3563,10.0,70,dodge challenger se,True,False,False
14.0,8,340.0,160,3609,8.0,70,plymouth 'cuda 340,True,False,False
15.0,8,400.0,150,3761,9.5,70,chevrolet monte carlo,True,False,False
14.0,8,455.0,225,3086,10.0,70,buick estate wagon (sw),True,False,False
24.0,4,113.0,95,2372,15.0,70,toyota corona mark ii,False,False,True
22.0,6,198.0,95,2833,15.5,70,plymouth duster,True,False,False
18.0,6,199.0,97,2774,15.5,70,amc hornet,True,False,False
21.0,6,200.0,85,2587,16.0,70,ford maverick,True,False,False
27.0,4,97.0,88,2130,14.5,70,datsun pl510,False,False,True
26.0,4,97.0,46,1835,20.5,70,volkswagen 1131 deluxe sedan,False,True,False
25.0,4,110.0,87,2672,17.5,70,peugeot 504,False,True,False
24.0,4,107.0,90,2430,14.5,70,audi 100 ls,False,True,False
25.0,4,104.0,95,2375,17.5,70,saab 99e,False,True,False
26.0,4,121.0,113,2234,12.5,70,bmw 2002,False,True,False
21.0,6,199.0,90,2648,15.0,70,amc gremlin,True,False,False
10.0,8,360.0,215,4615,14.0,70,ford f250,True,False,False
10.0,8,307.0,200,4376,15.0,70,chevy c20,True,False,False
11.0,8,318.0,210,4382,13.5,70,dodge d200,True,False,False
9.0,8,304.0,193,4732,18.5,70,hi 1200d,True,False,False
27.0,4,97.0,88,2130,14.5,71,datsun pl510,False,False,True
28.0,4,140.0,90,2264,15.5,71,chevrolet vega 2300,True,False,False
25.0,4,113.0,95,2228,14.0,71,toyota corona,False,False,True
19.0,6,232.0,100,2634,13.0,71,amc gremlin,True,False,False
16.0,6,225.0,105,3439,15.5,71,plymouth satellite custom,True,False,False
17.0,6,250.0,100,3329,15.5,71,chevrolet chevelle malibu,True,False,False
19.0,6,250.0,88,3302,15.5,71,ford torino 500,True,False,False
18.0,6,232.0,100,3288,15.5,71,amc matador,True,False,False
14.0,8,350.0,165,4209,12.0,71,chevrolet impala,True,False,False
14.0,8,400.0,175,4464,11.5,71,pontiac catalina brougham,True,False,False
14.0,8,351.0,153,4154,13.5,71,ford galaxie 500,True,False,False
14.0,8,318.0,150,4096,13.0,71,plymouth fury iii,True,False,False
12.0,8,383.0,180,4955,11.5,71,dodge monaco (sw),True,False,False
13.0,8,400.0,170,4746,12.0,71,ford country squire (sw),True,False,False
13.0,8,400.0,175,5140,12.0,71,pontiac safari (sw),True,False,False
18.0,6,258.0,110,2962,13.5,71,amc hornet sportabout (sw),True,False,False
22.0,4,140.0,72,2408,19.0,71,chevrolet vega (sw),True,False,False
19.0,6,250.0,100,3282,15.0,71,pontiac firebird,True,False,False
18.0,6,250.0,88,3139,14.5,71,ford mustang,True,False,False
23.0,4,122.0,86,2220,14.0,71,mercury capri 2000,True,False,False
28.0,4,116.0,90,2123,14.0,71,opel 1900,False,True,False
30.0,4,79.0,70,2074,19.5,71,peugeot 304,False,True,False
30.0,4,88.0,76,2065,14.5,71,fiat 124b,False,True,False
31.0,4,71.0,65,1773,19.0,71,toyota corolla 1200,False,False,True
35.0,4,72.0,69,1613,18.0,71,datsun 1200,False,False,True
27.0,4,97.0,60,1834,19.0,71,volkswagen model 111,False,True,False
26.0,4,91.0,70,1955,20.5,71,plymouth cricket,True,False,False
24.0,4,113.0,95,2278,15.5,72,toyota corona hardtop,False,False,True
25.0,4,97.5,80,2126,17.0,72,dodge colt hardtop,True,False,False
23.0,4,97.0,54,2254,23.5,72,volkswagen type 3,False,True,False
20.0,4,140.0,90,2408,19.5,72,chevrolet vega,True,False,False
21.0,4,122.0,86,2226,16.5,72,ford pinto runabout,True,False,False
13.0,8,350.0,165,4274,12.0,72,chevrolet impala,True,False,False
14.0,8,400.0,175,4385,12.0,72,pontiac catalina,True,False,False
15.0,8,318.0,150,4135,13.5,72,plymouth fury iii,True,False,False
14.0,8,351.0,153,4129,13.0,72,ford galaxie 500,True,False,False
17.0,8,304.0,150,3672,11.5,72,amc ambassador sst,True,False,False
11.0,8,429.0,208,4633,11.0,72,mercury marquis,True,False,False
13.0,8,350.0,155,4502,13.5,72,buick lesabre custom,True,False,False
12.0,8,350.0,160,4456,13.5,72,oldsmobile delta 88 royale,True,False,False
13.0,8,400.0,190,4422,12.5,72,chrysler newport royal,True,False,False
15.0,8,304.0,150,3892,12.5,72,amc matador (sw),True,False,False
13.0,8,307.0,130,4098,14.0,72,chevrolet chevelle concours (sw),True,False,False
13.0,8,302.0,140,4294,16.0,72,ford gran torino (sw),True,False,False
14.0,8,318.0,150,4077,14.0,72,plymouth satellite custom (sw),True,False,False
18.0,4,121.0,112,2933,14.5,72,volvo 145e (sw),False,True,False
22.0,4,121.0,76,2511,18.0,72,volkswagen 411 (sw),False,True,False
21.0,4,120.0,87,2979,19.5,72,peugeot 504 (sw),False,True,False
26.0,4,96.0,69,2189,18.0,72,renault 12 (sw),False,True,False
22.0,4,122.0,86,2395,16.0,72,ford pinto (sw),True,False,False
28.0,4,97.0,92,2288,17.0,72,datsun 510 (sw),False,False,True
23.0,4,120.0,97,2506,14.5,72,toyouta corona mark ii (sw),False,False,True
28.0,4,98.0,80,2164,15.0,72,dodge colt (sw),True,False,False
27.0,4,97.0,88,2100,16.5,72,toyota corolla 1600 (sw),False,False,True
13.0,8,350.0,175,4100,13.0,73,buick century 350,True,False,False
14.0,8,304.0,150,3672,11.5,73,amc matador,True,False,False
13.0,8,350.0,145,3988,13.0,73,chevrolet malibu,True,False,False
14.0,8,302.0,137,4042,14.5,73,ford gran torino,True,False,False
15.0,8,318.0,150,3777,12.5,73,dodge coronet custom,True,False,False
