mpg,cylinders,displacement,horsepower,weight,acceleration,year,name,origin_1,origin_2,origin_3,horsepower_vs_weight,cylinders_vs_displacement,horsepower_vs_displacement,horsepower_vs_year
18.0,8,307.0,130,3504,12.0,70,chevrolet chevelle malibu,True,False,False,0.037100456621004564,0.026058631921824105,0.4234527687296417,1.8571428571428572
15.0,8,350.0,165,3693,11.5,70,buick skylark 320,True,False,False,0.04467912266450041,0.022857142857142857,0.4714285714285714,2.357142857142857
18.0,8,318.0,150,3436,11.0,70,plymouth satellite,True,False,False,0.043655413271245634,0.025157232704402517,0.4716981132075472,2.142857142857143
16.0,8,304.0,150,3433,12.0,70,amc rebel sst,True,False,False,0.043693562481794346,0.02631578947368421,0.4934210526315789,2.142857142857143
17.0,8,302.0,140,3449,10.5,70,ford torino,True,False,False,0.04059147579008408,0.026490066225165563,0.46357615894039733,2.0
15.0,8,429.0,198,4341,10.0,70,ford galaxie 500,True,False,False,0.04561161022805805,0.018648018648018648,0.46153846153846156,2.8285714285714287
14.0,8,454.0,220,4354,9.0,70,chevrolet impala,True,False,False,0.050528249885163065,0.01762114537444934,0.4845814977973568,3.142857142857143
14.0,8,440.0,215,4312,8.5,70,plymouth fury iii,True,False,False,0.049860853432282005,0.01818181818181818,0.48863636363636365,3.0714285714285716
14.0,8,455.0,225,4425,10.0,70,pontiac catalina,True,False,False,0.05084745762711865,0.017582417582417582,0.4945054945054945,3.2142857142857144
15.0,8,390.0,190,3850,8.5,70,amc ambassador dpl,True,False,False,0.04935064935064935,0.020512820512820513,0.48717948717948717,2.7142857142857144
15.0,8,383.0,170,3563,10.0,70,dodge challenger se,True,False,False,0.04771260174010665,0.020887728459530026,0.44386422976501305,2.4285714285714284
14.0,8,340.0,160,3609,8.0,70,plymouth 'cuda 340,True,False,False,0.04433361041839845,0.023529411764705882,0.47058823529411764,2.2857142857142856
15.0,8,400.0,150,3761,9.5,70,chevrolet monte carlo,True,False,False,0.03988300983780909,0.02,0.375,2.142857142857143
14.0,8,455.0,225,3086,10.0,70,buick estate wagon (sw),True,False,False,0.0729099157485418,0.017582417582417582,0.4945054945054945,3.2142857142857144
24.0,4,113.0,95,2372,15.0,70,toyota corona mark ii,False,False,True,0.04005059021922428,0.035398230088495575,0.8407079646017699,1.3571428571428572
22.0,6,198.0,95,2833,15.5,70,plymouth duster,True,False,False,0.03353335686551359,0.030303030303030304,0.4797979797979798,1.3571428571428572
18.0,6,199.0,97,2774,15.5,70,amc hornet,True,False,False,0.034967555875991346,0.03015075376884422,0.48743718592964824,1.3857142857142857
21.0,6,200.0,85,2587,16.0,70,ford maverick,True,False,False,0.032856590645535366,0.03,0.425,1.2142857142857142
27.0,4,97.0,88,2130,14.5,70,datsun pl510,False,False,True,0.04131455399061033,0.041237113402061855,0.9072164948453608,1.2571428571428571
26.0,4,97.0,46,1835,20.5,70,volkswagen 1131 deluxe sedan,False,True,False,0.025068119891008173,0.041237113402061855,0.4742268041237113,0.6571428571428571
25.0,4,110.0,87,2672,17.5,70,peugeot 504,False,True,False,0.03255988023952096,0.03636363636363636,0.7909090909090909,1.2428571428571429
24.0,4,107.0,90,2430,14.5,70,audi 100 ls,False,True,False,0.037037037037037035,0.037383177570093455,0.8411214953271028,1.2857142857142858
25.0,4,104.0,95,2375,17.5,70,saab 99e,False,True,False,0.04,0.038461538461538464,0.9134615384615384,1.3571428571428572
26.0,4,121.0,113,2234,12.5,70,bmw 2002,False,True,False,0.050581915846016116,0.03305785123966942,0.9338842975206612,1.6142857142857143
21.0,6,199.0,90,2648,15.0,70,amc gremlin,True,False,False,0.033987915407854986,0.03015075376884422,0.45226130653266333,1.2857142857142858
10.0,8,360.0,215,4615,14.0,70,ford f250,True,False,False,0.04658721560130011,0.022222222222222223,0.5972222222222222,3.0714285714285716
10.0,8,307.0,200,4376,15.0,70,chevy c20,True,False,False,0.04570383912248629,0.026058631921824105,0.6514657980456026,2.857142857142857
11.0,8,318.0,210,4382,13.5,70,dodge d200,True,False,False,0.04792332268370607,0.025157232704402517,0.660377358490566,3.0
9.0,8,304.0,193,4732,18.5,70,hi 1200d,True,False,False,0.04078613693998309,0.02631578947368421,0.6348684210526315,2.757142857142857
27.0,4,97.0,88,2130,14.5,71,datsun pl510,False,False,True,0.04131455399061033,0.041237113402061855,0.9072164948453608,1.2394366197183098
