mpg,cylinders,acceleration,year,origin,name,displacement_log,horsepower_log,weight_log
18.0,8,12.0,70,1,chevrolet chevelle malibu,5.726847747587197,4.867534450455582,8.161660452056282
15.0,8,11.5,70,1,buick skylark 320,5.857933154483459,5.10594547390058,8.214194414852564
18.0,8,11.0,70,1,plymouth satellite,5.762051382780177,5.0106352940962555,8.142063283104147
16.0,8,12.0,70,1,amc rebel sst,5.717027701406222,5.0106352940962555,8.141189793457691
17.0,8,10.5,70,1,ford torino,5.71042701737487,4.941642422609304,8.145839612936841
15.0,8,10.0,70,1,ford galaxie 500,6.061456918928017,5.288267030694535,8.375860015299594
15.0,8,10.0,70,1,dodge challenger se,5.948034989180646,5.135798437050262,8.178358165605836
15.0,8,9.5,70,1,chevrolet monte carlo,5.991464547107982,5.0106352940962555,8.232440158470336
24.0,4,15.0,70,3,toyota corona mark ii,4.727387818712341,4.553876891600541,7.771488760117616
22.0,6,15.5,70,1,plymouth duster,5.288267030694535,4.553876891600541,7.949091499830517
18.0,6,15.5,70,1,amc hornet,5.293304824724492,4.574710978503383,7.928045600874777
21.0,6,16.0,70,1,ford maverick,5.298317366548036,4.442651256490317,7.8582541821860294
27.0,4,14.5,70,3,datsun pl510,4.574710978503383,4.477336814478207,7.6638772587034705
26.0,4,20.5,70,2,volkswagen 1131 deluxe sedan,4.574710978503383,3.828641396489095,7.51479976048867
25.0,4,17.5,70,2,peugeot 504,4.700480365792417,4.465908118654584,7.890582534656536
24.0,4,14.5,70,2,audi 100 ls,4.672828834461906,4.499809670330265,7.795646536334594
25.0,4,17.5,70,2,saab 99e,4.6443908991413725,4.553876891600541,7.772752716468742
26.0,4,12.5,70,2,bmw 2002,4.795790545596741,4.727387818712341,7.711548979629146
21.0,6,15.0,70,1,amc gremlin,5.293304824724492,4.499809670330265,7.881559917056899
10.0,8,15.0,70,1,chevy c20,5.726847747587197,5.298317366548036,8.383890344101816
11.0,8,13.5,70,1,dodge d200,5.762051382780177,5.3471075307174685,8.385260520155413
9.0,8,18.5,70,1,hi 1200d,5.717027701406222,5.262690188904886,8.462103225098277
27.0,4,14.5,71,3,datsun pl510,4.574710978503383,4.477336814478207,7.6638772587034705
28.0,4,15.5,71,1,chevrolet vega 2300,4.941642422609304,4.499809670330265,7.724888439323074
25.0,4,14.0,71,3,toyota corona,4.727387818712341,4.553876891600541,7.708859601047175
19.0,6,13.0,71,1,amc gremlin,5.44673737166631,4.605170185988092,7.876258882303226
16.0,6,15.5,71,1,plymouth satellite custom,5.41610040220442,4.653960350157523,8.142936010432265
17.0,6,15.5,71,1,chevrolet chevelle malibu,5.521460917862246,4.605170185988092,8.110427237575024
19.0,6,15.5,71,1,ford torino 500,5.521460917862246,4.477336814478207,8.102283624480073
18.0,6,15.5,71,1,amc matador,5.44673737166631,4.605170185988092,8.098034756176071
14.0,8,12.0,71,1,chevrolet impala,5.857933154483459,5.10594547390058,8.344980368770571
14.0,8,11.5,71,1,pontiac catalina brougham,5.991464547107982,5.1647859739235145,8.403800504061147
